id,run,preprocess_ms,inference_ms,postprocess_ms,compute_e2e_ms,save_ms_once,e2e_with_save_once_ms,warmup,runs
pair_00012,0,9.222600026987493,161.57390002626926,4.93069994263351,175.72719999589026,32.230300013907254,207.9575000097975,3,5
pair_00012,1,10.057899984531105,140.51639998797327,6.892999983392656,157.46729995589703,32.230300013907254,189.6975999698043,3,5
pair_00012,2,7.923100027255714,142.48999999836087,5.824599997140467,156.23770002275705,32.230300013907254,188.4680000366643,3,5
pair_00012,3,10.05580008495599,139.1784999286756,4.759200033731759,153.99350004736334,32.230300013907254,186.2238000612706,3,5
pair_00012,4,10.198900010436773,139.24789999146014,6.033799960277975,155.4805999621749,32.230300013907254,187.71089997608215,3,5
pair_00013,0,12.039200053550303,133.23559996206313,6.805500015616417,152.08030003122985,50.38480006624013,202.46510009746999,3,5
pair_00013,1,10.476200026459992,150.2104999963194,44.65880000498146,205.34550002776086,50.38480006624013,255.730300094001,3,5
pair_00013,2,11.53150002937764,148.84849998634309,5.676600034348667,166.0566000500694,50.38480006624013,216.44140011630952,3,5
pair_00013,3,56.3572000246495,165.8361000008881,10.536300018429756,232.72960004396737,50.38480006624013,283.1144001102075,3,5
pair_00013,4,11.507399962283671,149.68749997206032,13.431100058369339,174.62599999271333,50.38480006624013,225.01080005895346,3,5
pair_00014,0,12.91659998241812,178.22160001378506,4.886400070972741,196.02460006717592,43.50979998707771,239.53440005425364,3,5
pair_00014,1,12.1447000419721,115.35610002465546,5.105499993078411,132.60630005970597,43.50979998707771,176.11610004678369,3,5
pair_00014,2,10.505399899557233,135.36980003118515,5.004400038160384,150.87959996890277,43.50979998707771,194.38939995598048,3,5
pair_00014,3,12.282300041988492,174.4110999861732,5.675800028257072,192.36920005641878,43.50979998707771,235.8790000434965,3,5
pair_00014,4,9.390799910761416,109.79780007619411,5.716499988920987,124.90509997587651,43.50979998707771,168.41489996295422,3,5
pair_00015,0,14.46350000333041,94.532800023444,6.584299961104989,115.5805999878794,38.74020010698587,154.32080009486526,3,5
pair_00015,1,14.28110001143068,112.35249997116625,5.760299973189831,132.39389995578676,38.74020010698587,171.13410006277263,3,5
pair_00015,2,15.92709997203201,127.35910003539175,12.38889992237091,155.67509992979467,38.74020010698587,194.41530003678054,3,5
pair_00015,3,20.712299970909953,137.29690003674477,6.3304000068455935,164.33960001450032,38.74020010698587,203.0798001214862,3,5
pair_00015,4,10.743599967099726,194.52140002977103,5.886600003577769,211.15160000044852,38.74020010698587,249.8918001074344,3,5
pair_00016,0,11.365700047463179,128.14079993404448,8.42900003772229,147.93550001922995,41.91600007470697,189.85150009393692,3,5
pair_00016,1,12.544099939987063,191.36150006670505,8.139599929563701,212.0451999362558,41.91600007470697,253.96120001096278,3,5
pair_00016,2,10.281699942424893,166.76350007764995,6.603999994695187,183.64920001477003,41.91600007470697,225.565200089477,3,5
pair_00016,3,9.655100060626864,187.81999999191612,4.644199972972274,202.11930002551526,41.91600007470697,244.03530010022223,3,5
pair_00016,4,10.969899944029748,125.8649000665173,4.884099937044084,141.71889994759113,41.91600007470697,183.6349000222981,3,5
pair_00017,0,17.147099948488176,126.84509996324778,4.727600025944412,148.71979993768036,62.02850001864135,210.74829995632172,3,5
pair_00017,1,21.292499965056777,121.77550001069903,7.214999990537763,150.28299996629357,62.02850001864135,212.31149998493493,3,5
pair_00017,2,10.471199988387525,111.38979997485876,9.59050003439188,131.45149999763817,62.02850001864135,193.48000001627952,3,5
pair_00017,3,11.250200099311769,101.30239999853075,5.721899913623929,118.27450001146644,62.02850001864135,180.3030000301078,3,5
pair_00017,4,12.175200041383505,152.80129993334413,4.844699986279011,169.82119996100664,62.02850001864135,231.849699979648,3,5
pair_00018,0,9.727399912662804,141.88200002536178,4.951799986883998,156.56119992490858,47.84570005722344,204.40689998213202,3,5
pair_00018,1,12.307099997997284,148.29140005167574,13.610399910248816,174.20889995992184,47.84570005722344,222.05460001714528,3,5
pair_00018,2,9.251000010408461,123.20619996171445,6.629000068642199,139.0862000407651,47.84570005722344,186.93190009798855,3,5
pair_00018,3,10.981099912896752,120.7247000420466,5.181799991987646,136.887599946931,47.84570005722344,184.73330000415444,3,5
pair_00018,4,11.04969996958971,105.9932999778539,5.220700055360794,122.2637000028044,47.84570005722344,170.10940006002784,3,5
pair_00019,0,11.245699948631227,111.91910004708916,5.8114000130444765,128.97620000876486,56.0144999762997,184.99069998506457,3,5
pair_00019,1,10.1755999494344,75.63029997982085,6.60500000230968,92.41089993156493,56.0144999762997,148.42539990786463,3,5
pair_00019,2,10.739499935880303,99.6466000797227,8.492799941450357,118.87889995705336,56.0144999762997,174.89339993335307,3,5
pair_00019,3,8.647699956782162,114.8246000520885,7.6815999345853925,131.15389994345605,56.0144999762997,187.16839991975576,3,5
pair_00019,4,8.404599968343973,96.60280006937683,9.731899946928024,114.73929998464882,56.0144999762997,170.75379996094853,3,5
pair_00020,0,9.109700098633766,159.17649993207306,4.879700019955635,173.16590005066246,30.919799930416048,204.0856999810785,3,5
pair_00020,1,10.497699957340956,182.97179997898638,4.733000067062676,198.20250000339,30.919799930416048,229.12229993380606,3,5
