id,backend,active_providers,max_abs_error_vs_ort_cpu,mean_abs_error_vs_ort_cpu,psnr_vs_ort_cpu,quality_psnr,quality_psnr_drop_vs_ort_cpu,quality_ssim,quality_ssim_drop_vs_ort_cpu,latency_mean_ms,latency_p50_ms,latency_p90_ms
pair_00006,trt_fp16,TensorrtExecutionProvider;CUDAExecutionProvider;CPUExecutionProvider,0.0008133053779602051,0.00011604599421843886,76.61355034002672,35.532063118406185,0.0026352120654209443,0.9958991033952145,2.830306137679983e-06,7.2109999833628535,6.466799997724593,8.571859961375594
pair_00007,cuda,CUDAExecutionProvider;CPUExecutionProvider,1.4901161193847656e-07,1.852604292196247e-08,80.0,34.267533637494935,-3.376663642029598e-07,0.9902907139999693,1.8491119746499862e-10,10.20402000285685,9.34610003605485,11.961299926042557
pair_00007,trt_fp32,TensorrtExecutionProvider;CUDAExecutionProvider;CPUExecutionProvider,0.00029414892196655273,3.9626545913051814e-05,80.0,34.266153814203626,0.0013794856249447207,0.9902871643596414,3.5498252390908647e-06,7.744139991700649,7.592199952341616,8.09592001605779
pair_00007,trt_fp16,TensorrtExecutionProvider;CUDAExecutionProvider;CPUExecutionProvider,0.0009136199951171875,0.00010411296534584835,77.62363731776169,34.26590909073767,0.001624209090898887,0.9902867818882046,3.932296675834834e-06,7.369600003585219,7.095600012689829,8.227660064585507
pair_00008,cuda,CUDAExecutionProvider;CPUExecutionProvider,1.6391277313232422e-07,1.8573715010461456e-08,80.0,34.101825086214895,0.0,0.9604757817335592,9.938052603075676e-10,9.4931400148198,9.09860001411289,10.378880007192492
pair_00008,trt_fp32,TensorrtExecutionProvider;CUDAExecutionProvider;CPUExecutionProvider,0.00019596517086029053,3.0064460588619113e-05,80.0,34.10112081381503,0.0007042723998651468,0.9604676495699005,8.133157463952045e-06,7.472779997624457,7.175300037488341,8.360140002332628
pair_00008,trt_fp16,TensorrtExecutionProvider;CUDAExecutionProvider;CPUExecutionProvider,0.0007542669773101807,9.21688842936419e-05,78.63196345996192,34.10111918895309,0.0007058972618025905,0.9604694814171513,6.3013102131748155e-06,8.098859968595207,7.256999961100519,10.255179926753044
pair_00009,cuda,CUDAExecutionProvider;CPUExecutionProvider,1.7881393432617188e-07,2.246721031440302e-08,80.0,33.78443686741212,0.0,0.9971597662248509,8.169687149006677e-11,10.507579986006021,10.124600026756525,11.607499932870269
pair_00009,trt_fp32,TensorrtExecutionProvider;CUDAExecutionProvider;CPUExecutionProvider,0.00043123960494995117,6.272205791901797e-05,80.0,33.781905545269,0.0025313221431204624,0.9971579606580793,1.8056484685224916e-06,7.70968000870198,7.511200034059584,8.151100017130375
pair_00009,trt_fp16,TensorrtExecutionProvider;CUDAExecutionProvider;CPUExecutionProvider,0.0009669065475463867,0.00015303883992601186,74.25284075202951,33.781182753790716,0.003254113621402155,0.9971574608609933,2.3054455544624375e-06,8.383619994856417,8.594100014306605,8.903339970856905
pair_00010,cuda,CUDAExecutionProvider;CPUExecutionProvider,1.6391277313232422e-07,2.002940924228369e-08,80.0,33.53390895414064,2.851841358619822e-07,0.9943376206931076,1.3631584749873582e-10,11.27991999965161,11.338799959048629,12.37524002790451
pair_00010,trt_fp32,TensorrtExecutionProvider;CUDAExecutionProvider;CPUExecutionProvider,0.0003769397735595703,4.995757990400307e-05,80.0,33.53201830974906,0.001890929575715461,0.994335011341406,2.6094880174465374e-06,8.756399992853403,8.677299949340522,9.805499971844256
pair_00010,trt_fp16,TensorrtExecutionProvider;CUDAExecutionProvider;CPUExecutionProvider,0.0008848309516906738,0.00012474333925638348,75.972148686408,33.531468178776954,0.0024410605478237812,0.9943341191094769,3.501719946563675e-06,8.269359986297786,8.27640003990382,9.404179989360273
pair_00011,cuda,CUDAExecutionProvider;CPUExecutionProvider,1.4901161193847656e-07,1.864360399395082e-08,80.0,34.248384310544694,0.0,0.9912246993518227,1.6562551330423503e-10,11.076659988611937,10.7711999444291,12.573640025220811
pair_00011,trt_fp32,TensorrtExecutionProvider;CUDAExecutionProvider;CPUExecutionProvider,0.0003031492233276367,4.025828093290329e-05,80.0,34.24678136020982,0.0016029503348704566,0.991221249268894,3.4502485541931804e-06,8.175219991244376,7.804000051692128,9.304919955320656
pair_00011,trt_fp16,TensorrtExecutionProvider;CUDAExecutionProvider;CPUExecutionProvider,0.0007635056972503662,0.0001053499654517509,77.52200420338535,34.24664357913551,0.0017407314091855142,0.9912209813901609,3.718127287277717e-06,8.057760051451623,8.003000053577125,9.24552008509636
pair_00012,cuda,CUDAExecutionProvider;CPUExecutionProvider,2.086162567138672e-07,1.8237466647974543e-08,80.0,34.377747889705354,0.0,0.9786757326793222,5.42857869767488e-10,10.835100011900067,9.969200007617474,12.78100002091378
pair_00012,trt_fp32,TensorrtExecutionProvider;CUDAExecutionProvider;CPUExecutionProvider,0.000225752592086792,3.2405481761088595e-05,80.0,34.37688834582768,0.0008595438776737296,0.9786706019819866,5.1312401934122676e-06,8.75915999058634,8.194900001399219,10.326080000959337
pair_00012,trt_fp16,TensorrtExecutionProvider;CUDAExecutionProvider;CPUExecutionProvider,0.0011452734470367432,9.370292536914349e-05,78.51168478780355,34.376604408197636,0.001143481507718036,0.9786696689477525,6.064274427508565e-06,8.164939982816577,8.08950001373887,8.879419951699674
pair_00013,cuda,CUDAExecutionProvider;CPUExecutionProvider,1.341104507446289e-07,1.8452821493042393e-08,80.0,37.57831830211737,0.0,0.9974528034151194,-8.04845079471761e-12,9.87731998320669,9.913300047628582,10.835399967618287
pair_00013,trt_fp32,TensorrtExecutionProvider;CUDAExecutionProvider;CPUExecutionProvider,0.00035828351974487305,4.1026378312380984e-05,80.0,37.57614698268963,0.002171319427738183,0.9974518448401196,9.585669513700878e-07,8.008060022257268,8.15490004606545,8.696839981712401
pair_00013,trt_fp16,TensorrtExecutionProvider;CUDAExecutionProvider;CPUExecutionProvider,0.0008803009986877441,0.0001114634214900434,76.86290697411496,37.575364387288005,0.0029539148293622475,0.9974512219487557,1.581458315302875e-06,6.808599969372153,6.577100022695959,7.39755998365581
pair_00014,cuda,CUDAExecutionProvider;CPUExecutionProvider,2.682209014892578e-07,2.455935543821397e-08,80.0,28.101616292929616,0.0,0.9779486931961234,-1.4732992603683215e-11,8.494800003245473,8.446100051514804,8.737819967791438
pair_00014,trt_fp32,TensorrtExecutionProvider;CUDAExecutionProvider;CPUExecutionProvider,0.0003374814987182617,4.8316578613594174e-05,80.0,28.10154249216986,7.380075975760292e-05,0.9779486588711209,3.4310269514392644e-08,7.381540024653077,6.953300093300641,8.1153400009498
pair_00014,trt_fp16,TensorrtExecutionProvider;CUDAExecutionProvider;CPUExecutionProvider,0.001231849193572998,0.00013524988025892526,75.25191062603078,28.10145171242443,0.0001645805051850857,0.9779475414303213,1.1517510691838595e-06,7.059320015832782,6.484700017608702,8.255740022286773
pair_00015,cuda,CUDAExecutionProvider;CPUExecutionProvider,2.682209014892578e-07,2.8510863003816667e-08,80.0,25.325632937083693,0.0,0.9453939880053264,4.297373568107332e-11,9.776999987661839,9.965499979443848,10.935599962249398
pair_00015,trt_fp32,TensorrtExecutionProvider;CUDAExecutionProvider;CPUExecutionProvider,0.0003294944763183594,4.9408452468924224e-05,80.0,25.32563224776873,6.893149624431771e-07,0.9453938509101449,1.371381551651396e-07,8.119499986059964,7.751600001938641,9.498559962958097
pair_00015,trt_fp16,TensorrtExecutionProvider;CUDAExecutionProvider;CPUExecutionProvider,0.0014531612396240234,0.00014880539674777538,74.41578037191628,25.32557020987021,6.272721348210553e-05,0.9453912728219226,2.7152263775143126e-06,6.729920022189617,6.840100046247244,7.0391800021752715
pair_00016,cuda,CUDAExecutionProvider;CPUExecutionProvider,1.4156103134155273e-07,2.067550575191035e-08,80.0,37.25084354486409,-3.355743842803349e-07,0.998614719629646,-3.0677682616442326e-12,10.070719989016652,8.834999985992908,12.823479948565364
pair_00016,trt_fp32,TensorrtExecutionProvider;CUDAExecutionProvider;CPUExecutionProvider,0.00041681528091430664,4.987078136764467e-05,80.0,37.24827917139356,0.002564037896142679,0.9986141407064029,5.789201753536588e-07,8.348060003481805,8.441600017249584,9.666860033757985
pair_00016,trt_fp16,TensorrtExecutionProvider;CUDAExecutionProvider;CPUExecutionProvider,0.0009294748306274414,0.00013204898277763277,75.4383247939964,37.24815977906765,0.0026834302220564155,0.9986140233449926,6.962815856104143e-07,8.085759985260665,6.836600019596517,11.138739972375333
pair_00017,cuda,CUDAExecutionProvider;CPUExecutionProvider,2.086162567138672e-07,2.2623785511655115e-08,80.0,33.29387659238393,0.0,0.9969015730822997,-1.5429102440123188e-11,9.637199994176626,9.089499944821,10.870820004492998
pair_00017,trt_fp32,TensorrtExecutionProvider;CUDAExecutionProvider;CPUExecutionProvider,0.0004139542579650879,5.4172556701814756e-05,80.0,33.291649283566315,0.002227308817616347,0.9969003737304201,1.1993364504858661e-06,7.584860036149621,7.220500032417476,8.602320007048547
pair_00017,trt_fp16,TensorrtExecutionProvider;CUDAExecutionProvider;CPUExecutionProvider,0.0010093450546264648,0.00014273362467065454,74.78472466735643,33.29162662786322,0.002249964520714798,0.9969002169605773,1.3561062932598844e-06,7.020479999482632,6.840999936684966,7.4836400570347905
pair_00018,cuda,CUDAExecutionProvider;CPUExecutionProvider,1.1920928955078125e-07,1.8371018484231172e-08,80.0,37.50872933164199,-7.122088447886199e-07,0.9970962526484316,2.1137647188140818e-11,9.335459978319705,8.611000026576221,10.646919999271631
pair_00018,trt_fp32,TensorrtExecutionProvider;CUDAExecutionProvider;CPUExecutionProvider,0.00039082765579223633,4.352275936980732e-05,80.0,37.50765118120625,0.0010774382268934346,0.99709591750002,3.3516954922596653e-07,7.618899992667139,7.437999942339957,8.221320016309619
pair_00018,trt_fp16,TensorrtExecutionProvider;CUDAExecutionProvider;CPUExecutionProvider,0.0008588433265686035,0.00011375008762115613,76.6922407907132,37.50739272124007,0.0013358981930693403,0.9970955911649091,6.615046601599062e-07,7.1218600030988455,7.101600058376789,8.125979988835752
pair_00019,cuda,CUDAExecutionProvider;CPUExecutionProvider,1.4901161193847656e-07,2.017605460480354e-08,80.0,33.681991611599514,0.0,0.9933687151981919,-2.6501689731617262e-11,8.980359975248575,8.943499997258186,9.530559950508177
pair_00019,trt_fp32,TensorrtExecutionProvider;CUDAExecutionProvider;CPUExecutionProvider,0.0003325939178466797,4.691403592005372e-05,80.0,33.680874008202466,0.0011176033970485832,0.9933677440133618,9.711583284222058e-07,6.697919988073409,6.6627999767661095,6.857939995825291
pair_00019,trt_fp16,TensorrtExecutionProvider;CUDAExecutionProvider;CPUExecutionProvider,0.0008370280265808105,0.0001199746984639205,76.28246567289297,33.680832708413305,0.001158903186208704,0.9933672730552826,1.442116407623928e-06,6.610079994425178,6.143699982203543,7.6631400268524885
pair_00020,cuda,CUDAExecutionProvider;CPUExecutionProvider,2.086162567138672e-07,2.4638424633849354e-08,80.0,28.47249011019006,0.0,0.9765604750571338,-6.473954705654705e-11,9.147159988060594,8.63629998639226,10.305420006625354
pair_00020,trt_fp32,TensorrtExecutionProvider;CUDAExecutionProvider;CPUExecutionProvider,0.00036388635635375977,4.9524049245519564e-05,80.0,28.472275292687556,0.0002148175025027399,0.9765601348897681,3.401026261729001e-07,6.936719990335405,6.901300046592951,7.063539954833686
pair_00020,trt_fp16,TensorrtExecutionProvider;CUDAExecutionProvider;CPUExecutionProvider,0.0010981559753417969,0.00013672979548573494,75.16584310116431,28.47204305989034,0.00044705029971936483,0.9765579943717335,2.480620660771926e-06,6.336720008403063,6.256300024688244,6.628620019182563
