sample,mad_k,min_delta,injected_total,detected_total,true_positive,injected_recall,false_negative,extra_detection,extra_detection_fraction,mean_residual_after_repair_on_injected
T12_a0034-LSYD4O2202,16.0,512,64,3639,64,1.0,0,3575,0.0034093856811523438,50.828125
T12_a0034-LSYD4O2202,6.0,1024,64,271,64,1.0,0,207,0.00019741058349609375,50.828125
T12_a0034-LSYD4O2202,12.0,1024,64,271,64,1.0,0,207,0.00019741058349609375,50.828125
T12_a0034-LSYD4O2202,16.0,1024,64,271,64,1.0,0,207,0.00019741058349609375,50.828125
T12_a0034-LSYD4O2202,6.0,2048,64,63,63,0.984375,1,0,0.0,81.703125
T12_a0034-LSYD4O2202,12.0,2048,64,63,63,0.984375,1,0,0.0,81.703125
T12_a0034-LSYD4O2202,16.0,2048,64,63,63,0.984375,1,0,0.0,81.703125
T13_a0035-dgw_048,6.0,256,64,14216,64,1.0,0,14152,0.01349639892578125,54.96875
T13_a0035-dgw_048,12.0,256,64,14216,64,1.0,0,14152,0.01349639892578125,54.96875
T13_a0035-dgw_048,16.0,256,64,14216,64,1.0,0,14152,0.01349639892578125,54.96875
T13_a0035-dgw_048,6.0,512,64,5549,64,1.0,0,5485,0.005230903625488281,54.96875
T13_a0035-dgw_048,12.0,512,64,5549,64,1.0,0,5485,0.005230903625488281,54.96875
T13_a0035-dgw_048,16.0,512,64,5549,64,1.0,0,5485,0.005230903625488281,54.96875
T13_a0035-dgw_048,6.0,1024,64,1819,64,1.0,0,1755,0.0016736984252929688,54.96875
T13_a0035-dgw_048,12.0,1024,64,1819,64,1.0,0,1755,0.0016736984252929688,54.96875
T13_a0035-dgw_048,16.0,1024,64,1819,64,1.0,0,1755,0.0016736984252929688,54.96875
T13_a0035-dgw_048,6.0,2048,64,471,64,1.0,0,407,0.00038814544677734375,54.96875
T13_a0035-dgw_048,12.0,2048,64,471,64,1.0,0,407,0.00038814544677734375,54.96875
T13_a0035-dgw_048,16.0,2048,64,471,64,1.0,0,407,0.00038814544677734375,54.96875
T14_a0040-_DSC5693,6.0,256,64,85508,64,1.0,0,85444,0.08148574829101562,91.578125
T14_a0040-_DSC5693,12.0,256,64,85508,64,1.0,0,85444,0.08148574829101562,91.578125
T14_a0040-_DSC5693,16.0,256,64,85508,64,1.0,0,85444,0.08148574829101562,91.578125
T14_a0040-_DSC5693,6.0,512,64,44334,64,1.0,0,44270,0.04221916198730469,91.578125
T14_a0040-_DSC5693,12.0,512,64,44334,64,1.0,0,44270,0.04221916198730469,91.578125
T14_a0040-_DSC5693,16.0,512,64,44334,64,1.0,0,44270,0.04221916198730469,91.578125
T14_a0040-_DSC5693,6.0,1024,64,15072,64,1.0,0,15008,0.014312744140625,91.578125
T14_a0040-_DSC5693,12.0,1024,64,15072,64,1.0,0,15008,0.014312744140625,91.578125
T14_a0040-_DSC5693,16.0,1024,64,15072,64,1.0,0,15008,0.014312744140625,91.578125
T14_a0040-_DSC5693,6.0,2048,64,3262,64,1.0,0,3198,0.0030498504638671875,91.578125
T14_a0040-_DSC5693,12.0,2048,64,3262,64,1.0,0,3198,0.0030498504638671875,91.578125
T14_a0040-_DSC5693,16.0,2048,64,3262,64,1.0,0,3198,0.0030498504638671875,91.578125
